Clade Name	Clade Definition	Section Letter	Components	Show	Comments
All	"Dendroctonus ponderosae+""Meloe violaceus""+""TRIBOLIUM CASTANEUM""+""Aleochara curtula""+""Lepicerus sp""+""Priacma serrata""+""Carabus granulatus""+""Gyrinus marinus""+""Conwentzia psociformis""+""Xanthostigma xanthostigma""+""Inocellia crassicornis""+""Corydalus cornutus""+""Sialis lutaria""+""Osmylus fulvicephalus""+""Euroleon nostras""+""Dichochrysa prasina""+""Hydroptilidae sp""+""Rhyacophila fasciata""+""Platycentropus radiatus""+""Cheumatopsyche sp""+""Philopotamus ludificatus""+""Micropterix calthella""+""Eriocrania subpurpurella""+""Triodia sylvina""+""Nemophora deegerella""+""Yponomeuta evonymella""+""Zygaena fausta""+""BOMBYX MORI""+""Manduca sexta""+""Parides arcas""+""Polyommatus icarus""+""Ceratophyllus gallinae""+""Ctenocephalides felis""+""Archaeopsylla erinacei""+""Nannochorista philpotti""+""Boreus hyemalis""+""Panorpa vulgaris""+""Bittacus pilicornis""+""ANOPHELES GAMBIAE""+""Aedes AEGYpti""+""Phlebotomus papatasi""+""Bibio marci""+""Trichocera fuscata""+""Tipula maxima""+""Bombylius major""+""DROSOPHILA MELANOGASTER""+""Lipara lucens""+""Rhagoletis pomonella""+""Glossina morsitans""+""Triarthria setipennis""+""Sarcophaga crassipalpis""+""Stylops melittae""+""Mengenilla moldrzyki""+""Tenthredo koehleri""+""Cotesia vestalis""+""NASONIA VITRIPENNIS""+""Leptopilina clavipes""+""Orussus abietinus""+""Chrysis viridula""+""ACROMYRMEX ECHINATIOR""+""Harpegnathos SALTator""+""Exoneura robusta""+""Bombus terrestris""+""APIS MELLIFERA""+""Ectopsocus briggsi""+""Liposcelis bostrychophila""+""PEDICULUS HUMANUS""+""Menopon gallinae""+""Gynaikothrips ficorum""+""Frankliniella cephalica""+""Thrips palmi""+""Acanthocasuarina muellerianae""+""Bemisia tabaci""+""Trialeurodes vaporariorum""+""Planococcus citri""+""Essigella californica""+""ACYRTOSIPHON PISUM""+""Aphis gossypii""+""Nilaparvata lugens""+""Xenophysella greensladeae""+""Cercopis vulnerata""+""Okanagana villosa""+""Velia caprai""+""Ranatra linearis""+""Notostira elongata""+""Acanthosoma haemorrhoidale""+""Baetis pumilus""+""Isonychia bicolor""+""Eurylophella sp""+""Ephemera danica""+""Machilis hrabei""+""Meinertellus cundinamarcensis""+""Occasjapyx japonicus""+""Campodea augens""+""Tetrodontophora bielanensis""+""Anurida maritima""+""Sminthurus vir nig""+""Folsomia candida""+""Pogonognathellus lon fla""+""Acerentomon sp""+""Speleonectes tulumensis""+""DAPHNIA PULEX""+""IXODES SCAPULARIS""+""Glomeris pustulata""+""Symphylella vulgaris""+""Cypridininae sp""+""Lepeophtheirus salmonis""+""Sarsinebalia urgorii""+""Litopenaeus vannamei""+""Celuca puligator""+""Calopteryx splendens""+""Cordulegaster boltonii""+""Epiophlebia superstes""+""Tricholepidion gertschi""+""Atelura formicaria""+""Thermobia domestica""+""Apachyus charteceus""+""Forficula auricularia""+""Zorotypus caudelli""+""Aposthonia japonica""+""Haploembia palaui""+""Timema cristinae""+""Aretaon asperrimus""+""Peruphasma schultei""+""Perla marginata""+""Leuctra sp""+""Cosmioperla kuna""+""Gryllotalpa sp""+""Ceuthophilus sp""+""Tetrix subulata""+""Stenobothrus lineatus""+""Prosarthria teretrirostris""+""Tanzaniophasma sp""+""Galloisiana yuasai""+""Grylloblatta bifratrilecta""+""Metallyticus splendidus""+""Mantis religiosa""+""Empusa pennata""+""Blaberus atropos""+""Periplaneta americana""+""Cryptocercus wrighti""+""Prorhinotermes simplex""+""ZOOTERMOPSIS NEVADENSIS""+""Mastotermes darwiniensis"""	None		0	
Archaeognatha/microcoryphia	"Machilis hrabei+""Meinertellus cundinamarcensis"""	None		1	
Blattodea	"Blaberus atropos+""Periplaneta americana""+""Cryptocercus wrighti""+""Prorhinotermes simplex""+""ZOOTERMOPSIS NEVADENSIS""+""Mastotermes darwiniensis"""	None		1	
Coleoptera	"Dendroctonus ponderosae+""Meloe violaceus""+""TRIBOLIUM CASTANEUM""+""Aleochara curtula""+""Lepicerus sp""+""Priacma serrata""+""Carabus granulatus""+""Gyrinus marinus"""	None		1	
Collembola	"Tetrodontophora bielanensis+""Anurida maritima""+""Sminthurus vir nig""+""Folsomia candida""+""Pogonognathellus lon fla"""	None		1	
Dermaptera	"Apachyus charteceus+""Forficula auricularia"""	None		1	
Diplura	"Occasjapyx japonicus+""Campodea augens"""	None		1	
Diptera	"ANOPHELES GAMBIAE+""Aedes AEGYpti""+""Phlebotomus papatasi""+""Bibio marci""+""Trichocera fuscata""+""Tipula maxima""+""Bombylius major""+""DROSOPHILA MELANOGASTER""+""Lipara lucens""+""Rhagoletis pomonella""+""Glossina morsitans""+""Triarthria setipennis""+""Sarcophaga crassipalpis"""	None		1	
Embiidina	"Aposthonia japonica+""Haploembia palaui"""	None		1	
Ephemeroptera	"Baetis pumilus+""Isonychia bicolor""+""Eurylophella sp""+""Ephemera danica"""	None		1	
